benchmark,category,cs,status,cputime (s),walltime (s),memUsage,status-2,cputime (s)-2,walltime (s)-2,memUsage-2,speedup-2,status-4,cputime (s)-4,walltime (s)-4,memUsage-4,speedup-4,status-6,cputime (s)-6,walltime (s)-6,memUsage-6,speedup-6,status-8,cputime (s)-8,walltime (s)-8,memUsage-8,speedup-8
bin2iso-1.9b/bin2iso.bc,OSS,0,OK,0.657208892,0.725180396,24526848,OK,1.04951824,0.619907907,26165248,1.169819562,OK,1.040443191,0.61215797,26411008,1.18462951,OK,1.056715246,0.669462195,27287552,1.083228301,OK,1.055778055,0.626377171,26988544,1.157737589
bird-2.0.3/birdc.bc,OSS,0,OK,0.281883476,0.308055886,23519232,OK,0.339631091,0.317870992,24862720,0.9691223602,OK,0.288836428,0.308206858,24109056,0.9995101602,OK,0.292725374,0.397100143,24481792,0.7757637247,OK,0.290613393,0.312437505,24469504,0.9859760146
bird-2.0.3/birdcl.bc,OSS,0,OK,0.393871192,0.448050974,23625728,OK,0.442717931,0.374540066,24961024,1.196269811,OK,0.470753521,0.364627966,26370048,1.228789385,OK,0.439054394,0.384194206,27889664,1.166209607,OK,0.436433191,0.364430833,27860992,1.229454079
bitlbee-3.6/bitlbee.bc,OSS,0,OK,5.752634913,6.008567134,112386048,OK,7.621054461,4.661598711,114606080,1.288949887,OK,9.001561934,4.618471491,117071872,1.300986083,OK,10.83346801,4.770397191,121004032,1.259552799,OK,10.76731507,4.615853199,119840768,1.301724053
bmon-4.0/bmon.bc,OSS,0,OK,439.5026417,439.5279837,47382528,OK,566.931425,299.4679863,53477376,1.467696061,OK,755.6919964,228.2827529,66129920,1.925366583,OK,840.0110026,292.056119,67465216,1.504943588,OK,864.9657893,211.7705549,74407936,2.075491486
bogofilter-1.2.4/bogofilter.bc,OSS,0,OK,9.349193006,9.444838753,64253952,OK,13.56530515,9.46044688,66449408,0.9983501702,OK,14.33651532,9.152871235,68542464,1.031899009,OK,13.74706799,9.399608193,70787072,1.004811962,OK,13.85274584,9.113158883,70938624,1.036395708
bogofilter-1.2.4/bogolexer.bc,OSS,0,OK,0.718411151,0.747733796,34467840,OK,0.933797053,0.708157115,36118528,1.055886865,OK,0.91613828,0.704516006,37347328,1.061343943,OK,0.866067033,0.882328856,38666240,0.847454768,OK,0.945608547,0.709463957,39063552,1.053941907
bogofilter-1.2.4/bogotune.bc,OSS,0,OK,12734.13674,12734.3767,58875904,OK,26361.44463,13813.125,61366272,0.9219041094,OK,26714.7458,13713.9433,65052672,0.9285714853,OK,27380.1008,13864.14181,67350528,0.9185117171,OK,27218.75789,13664.36324,68059136,0.9319407337
bogofilter-1.2.4/bogoutil.bc,OSS,0,OK,7.53607847,7.560243975,42577920,OK,10.02210737,5.949573966,44834816,1.270720226,OK,10.90665063,5.788073537,48308224,1.306176213,OK,10.58125351,5.832763057,53030912,1.29616854,OK,10.99250234,5.929992457,54190080,1.274916289
brltty-6.0/brltty-atb.bc,OSS,0,OK,4.946870398,4.975174231,45514752,OK,6.053598008,4.550808605,47271936,1.093250598,OK,6.161295171,4.435934174,49831936,1.121561781,OK,6.302858952,4.537737015,54296576,1.096399861,OK,5.98212208,4.435337183,54988800,1.121712741
