benchmark,category,status,cputime (s),walltime (s),memUsage,status-4,cputime (s)-4,walltime (s)-4,memUsage-4,speedup-4
fbida-2.14/exiftran.bc,OSS,OK,16.53656811,16.5606169,29806592,OK,22.98116598,7.064840691,35532800,2.344089219
xl2tpd-1.3.13/xl2tpd.bc,OSS,OK,16.41982678,16.46482542,67383296,OK,22.23895215,7.60320855,93409280,2.165510168
brltty-6.0/brltty-morse.bc,OSS,OK,16.24030901,16.27005125,59260928,OK,19.85895268,12.17536626,66662400,1.336308978
gnupg-2.2.15/kbxutil.bc,OSS,OK,16.07982789,16.13038418,64434176,OK,25.52665591,10.54391856,74227712,1.529828221
badvpn-1.999.130/badvpn-ncd-request.bc,OSS,OK,15.98332664,16.00853315,43237376,OK,21.72200738,5.915316096,60854272,2.706285326
uucp-1.07/uuconv.bc,OSS,OK,15.8210365,15.96712511,47456256,OK,30.75450338,11.47070793,56897536,1.391991253
engrampa-1.22.0/engrampa.bc,OSS,OK,15.90291031,15.93029403,118910976,OK,15.86223319,15.89017932,116600832,1.002524497
detox-1.3.0/detox.bc,OSS,OK,15.85663006,15.90187607,29290496,OK,31.57915099,14.391338,37847040,1.104961614
sarg-2.3.11/sarg-2.3.11..bc,OSS,OK,15.84087764,15.881098,122097664,OK,25.55046982,12.54251239,130342912,1.266181568
engrampa-1.22.0/engrampa-server.bc,OSS,OK,15.84198357,15.86733597,117305344,OK,15.35730584,15.37502845,114929664,1.032019942
fig2dev-3.2.7/fig2dev.bc,OSS,OK,15.78249372,15.81673398,175136768,OK,23.39232583,9.033553896,202551296,1.750887211
ziproxy-3.3.1/ziproxy.bc,OSS,OK,15.72620542,15.74386726,64364544,OK,19.78983792,15.03223869,71737344,1.047340159
scdoc-1.9.4/scdoc.bc,OSS,OK,15.61488466,15.64226077,24190976,OK,21.21376945,8.470386951,29503488,1.846699668
detox-1.3.0/inline-detox.bc,OSS,OK,15.55279217,15.58686383,29569024,OK,31.75632976,14.16937345,37564416,1.100039031
nauty-26r11/NRswitchg.bc,OSS,OK,14.97988974,15.00619482,54321152,OK,30.37565256,13.72431557,62251008,1.093402053
sndio-1.5.0/aucat.bc,OSS,OK,14.79174348,14.92527217,29700096,OK,20.00826237,7.263242146,37220352,2.054904941
pcre2-10.32/pcre2grep.bc,OSS,OK,14.63469514,14.64803261,37695488,OK,26.83997438,11.96616121,50597888,1.224121283
davfs2-1.5.5/mount.davfs.bc,OSS,OK,14.62158485,14.64454402,52088832,OK,17.85745542,5.485306333,64004096,2.669776878
gkrellm-2.3.10/gkrellm.bc,OSS,OK,14.21893659,14.60746365,331333632,OK,19.94317667,12.41933725,335556608,1.17618705
gnupg-2.2.15/gpg-wks-server.bc,OSS,OK,14.53594996,14.59400081,75476992,OK,23.76138679,8.61018699,88670208,1.69496909
gftp-2.0.19/gftp-text.bc,OSS,OK,14.1334329,14.24157656,85254144,OK,23.90283434,8.719736513,95670272,1.633257672
coreutils-8.31/expand.bc,OSS,OK,14.10848547,14.15756552,26066944,OK,23.36941729,9.577706239,41639936,1.478179135
iwd-0.17/iwmon.bc,OSS,OK,14.00506778,14.09093214,106692608,OK,18.74392288,5.762002144,149815296,2.445492346
vnstat-2.1/vnstatd.bc,OSS,OK,13.95737529,13.97858407,50143232,OK,22.48254187,14.34491851,54792192,0.9744624243
nauty-26r11/cubhamg.bc,OSS,OK,13.78138607,13.80805784,52195328,OK,22.48094016,10.76464831,60518400,1.282722615
gnupg-2.2.15/gpg-protect-tool.bc,OSS,OK,13.63987395,13.68773629,79282176,OK,22.59942076,8.622094159,88965120,1.587518767
brltty-6.0/brltty-ttb.bc,OSS,OK,13.61688615,13.64163163,56418304,OK,17.25578677,7.056228741,66347008,1.933275143
notion-20170201/ion-statusd.bc,OSS,OK,13.29839522,13.35233292,31031296,OK,22.4442918,7.086620861,36257792,1.884160756
logrotate-3.15.0/logrotate.bc,OSS,OK,13.3217148,13.35164397,49184768,OK,17.15621467,9.302218471,66457600,1.435318253
homebank-5.2.3/homebank.bc,OSS,OK,12.59302785,13.20530926,160759808,OK,14.70004612,9.944541504,165699584,1.327895233
cuetools-1.4.1/cueprint.bc,OSS,OK,13.04941382,13.08389533,37249024,OK,19.29825731,6.212411761,57688064,2.106089523
picocom-3.1/picocom.bc,OSS,OK,12.93786831,12.98613905,41689088,OK,15.82012953,5.429143098,50688000,2.391931621
brltty-6.0/brltty-ctb.bc,OSS,OK,12.68228891,12.92705209,62758912,OK,16.27381679,10.13809084,68313088,1.275097283
mpop-1.4.3/mpop.bc,OSS,OK,12.73056542,12.75797705,64430080,OK,22.81938006,9.43127484,73007104,1.352730916
nginx-mainline-1.15.12/nginx.bc,OSS,OK,11.88474309,12.58963057,457457664,OK,14.410165,9.625118937,463695872,1.307997402
dictd-1.12.1/dictfmt.bc,OSS,OK,12.49955598,12.52555263,29585408,OK,17.57990264,8.807180862,37367808,1.42219773
nsd-4.1.27/nsd-checkconf.bc,OSS,OK,12.41036227,12.52315321,101093376,OK,16.51419731,7.317665651,107098112,1.711359033
coreutils-8.31/stty.bc,OSS,OK,12.4847484,12.51070452,35012608,OK,18.39081334,5.460383837,52170752,2.291176754
cuetools-1.4.1/cuebreakpoints.bc,OSS,OK,12.36327946,12.39757562,36933632,OK,20.1053659,6.271911121,58306560,1.976682287
iwd-0.17/iwctl.bc,OSS,OK,12.34347295,12.37286166,62676992,OK,16.16065399,6.866947738,69144576,1.801799305
mcelog-153/mcelog.bc,OSS,OK,12.05056669,12.28580717,69840896,OK,21.35270313,7.835961731,84901888,1.567874831
enigma-1.04/enigma.bc,OSS,OK,12.25126028,12.27557843,32526336,OK,23.53796101,9.919196234,43130880,1.237557776
icmake-9.02.08/icm-pp.bc,OSS,OK,12.19063183,12.21621469,26980352,OK,23.79278309,8.763300543,38260736,1.394019826
nsd-4.1.27/nsd-control.bc,OSS,OK,11.96523252,12.01554273,98004992,OK,15.72031792,6.960649239,105562112,1.726210058
lldpd-1.0.3/lldpd.bc,OSS,OK,11.8738411,11.89335597,89423872,OK,18.92697381,9.016569831,94887936,1.319055494
allegro4-4.4.3.1/dat2c.bc,OSS,OK,11.64259143,11.69050331,27680768,OK,21.92264106,9.008138315,37310464,1.297771293
mfoc-0.10.7+38+gb333a79/mfoc.bc,OSS,OK,11.62677986,11.65465441,30470144,OK,20.40442245,11.91315528,35823616,0.9783012256
msmtp-1.8.3/msmtp.bc,OSS,OK,11.51757347,11.54066125,58880000,OK,17.12656231,9.28676921,63930368,1.242699262
cronie-1.5.4/cronnext.bc,OSS,OK,11.36025732,11.411876,34254848,OK,18.92854626,12.265081,39845888,0.9304362519
uucp-1.07/uuxqt.bc,OSS,OK,11.21615422,11.3017702,50900992,OK,17.90643882,10.61006331,58232832,1.065193475
dmtcp-2.5.2/mtcp_restart.bc,OSS,OK,11.08733369,11.10667713,32665600,OK,16.7594781,6.374273161,40009728,1.742422524
ipset-7.1/ipset.bc,OSS,OK,10.98722771,11.09373841,68739072,OK,13.23305528,4.92275787,88227840,2.253561662
hdparm-9.58/hdparm.bc,OSS,OK,10.88804866,10.95734312,72130560,OK,15.08884466,7.407259886,86732800,1.479270782
uget-2.2.1/uget-gtk.bc,OSS,OK,10.52963289,10.64996407,110632960,OK,12.52521921,5.033384347,114434048,2.115865456
dropbear-2019.78/dropbearconvert.bc,OSS,OK,10.42005776,10.54794506,60379136,OK,12.86584651,7.603420797,65433600,1.387263094
coreutils-8.31/df.bc,OSS,OK,10.49176986,10.5149383,38547456,OK,20.6210086,8.10441439,54517760,1.297433447
distcc-3.3.2/distcc.bc,OSS,OK,10.37083768,10.45689485,60309504,OK,13.95329514,4.643279468,73080832,2.252049423
nettle-3.4.1/sexp-conv.bc,OSS,OK,10.32511326,10.37613806,25284608,OK,14.68552254,5.526402487,30867456,1.877557432
darkhttpd-1.12/darkhttpd.bc,OSS,OK,10.31859581,10.34391908,33677312,OK,12.83859539,3.943546993,48328704,2.622998812
hwinfo-21.60/check_hd.bc,OSS,OK,10.22807347,10.26078987,28925952,OK,17.44664585,8.288491052,33890304,1.237956319
coreutils-8.31/touch.bc,OSS,OK,9.922822088,10.11329764,48500736,OK,15.83990104,5.595776494,77914112,1.807309076
cuetools-1.4.1/cueconvert.bc,OSS,OK,9.992224233,10.0205795,37072896,OK,14.76790342,4.333382341,59211776,2.312415271
mutt-1.11.4/mutt_pgpring.bc,OSS,OK,9.8879911,9.917635953,31686656,OK,11.03032104,5.777842445,36507648,1.716494703
pixiewps-1.4.2/pixiewps.bc,OSS,OK,9.757808958,9.810930443,40177664,OK,12.99157626,5.391801778,44490752,1.81960147
coreutils-8.31/shred.bc,OSS,OK,9.70909099,9.809983098,30859264,OK,21.60568529,7.212225391,43139072,1.360188093
coreutils-8.31/chown.bc,OSS,OK,9.691008107,9.735904389,37175296,OK,13.80332056,5.482422987,52277248,1.775839699
fvwm-2.6.8/FvwmBacker.bc,OSS,OK,9.519833634,9.645436799,57360384,OK,12.64787291,4.052235663,85229568,2.380275384
shairplay-20180824.096b61a/shairplay.bc,OSS,OK,9.475128044,9.568140203,79675392,OK,9.654402289,9.57696388,79728640,0.9990786561
musepack-0.1+r475/mpc2sv8.bc,OSS,OK,9.501705636,9.523777065,28442624,OK,15.25944706,8.429361829,32608256,1.1298337
tor-0.3.5.8/tor-print-ed-signing-cert.bc,OSS,OK,9.442675018,9.465439671,162885632,OK,10.35263254,9.450240458,162086912,1.001608341
enscript-1.6.6/mkafmmap.bc,OSS,OK,9.37109407,9.453132072,48619520,OK,15.66260727,5.808337495,53039104,1.627510812
vnstat-2.1/vnstat.bc,OSS,OK,9.428311296,9.451882598,60026880,OK,13.97107954,4.535952536,73588736,2.083770172
bogofilter-1.2.4/bogofilter.bc,OSS,OK,9.349193006,9.444838753,64253952,OK,14.33651532,9.152871235,68542464,1.031899009
coreutils-8.31/chcon.bc,OSS,OK,9.28985037,9.365047295,36429824,OK,12.76211632,4.701241899,51466240,1.992036891
fvwm-2.6.8/FvwmBanner.bc,OSS,OK,9.178379753,9.264002005,62865408,OK,9.493615027,8.657891203,67350528,1.070006747
coreutils-8.31/chgrp.bc,OSS,OK,9.22728415,9.252070961,36651008,OK,12.64146678,4.951633768,52051968,1.868488542
hexedit-1.4.2/hexedit.bc,OSS,OK,9.115573275,9.157894516,29585408,OK,11.07324398,3.089151781,38289408,2.964533686
nauty-26r11/delptg.bc,OSS,OK,9.094317527,9.122899489,55857152,OK,17.97645481,8.272190957,63569920,1.102839566
brltty-6.0/brltty-trtxt.bc,OSS,OK,9.074588413,9.106875955,48525312,OK,11.65250713,7.571788707,53731328,1.202737729
coreutils-8.31/chmod.bc,OSS,OK,9.054956705,9.103552984,35684352,OK,18.38537767,6.969352026,48246784,1.306226598
wireguard-0.0.20190406/wg.bc,OSS,OK,8.977001317,9.090783346,91422720,OK,20.15317256,7.22855417,96796672,1.257621252
